trading_date,rv_5m,rsv_pos_5m,rsv_neg_5m,day_session_rv,night_session_rv,n_5m_returns,valid_5m_bars,session_coverage_ratio,source_file_sha256,transform_version
2023-07-24,8.295620147205908e-05,4.424861032062125e-05,3.8707591151437874e-05,4.189412258336314e-05,4.106207888869597e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-07-25,5.765073350602382e-05,2.686332710869359e-05,3.0787406397330185e-05,3.067712126976616e-05,2.6973612236257636e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-07-26,4.955645912589116e-05,2.1273163964180013e-05,2.828329516171115e-05,3.471827540416369e-05,1.4838183721727463e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-07-27,8.651325743260006e-05,5.3624162479729534e-05,3.288909495287061e-05,4.46681421643785e-05,4.1845115268221614e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-07-28,0.0004044872204617685,0.00015555689422893726,0.00024893032623283124,0.0003037138289371461,0.00010077339152462241,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-07-31,0.00013605745434890667,8.526612988791923e-05,5.079132446098741e-05,6.041077395055805e-05,7.564668039834864e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-01,6.356153859771874e-05,3.598762309109037e-05,2.7573915506628364e-05,3.851299505857461e-05,2.504854353914412e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-02,0.00012270697828674354,4.0846377717501016e-05,8.18606005692425e-05,9.366328575834747e-05,2.904369252839607e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-03,0.00016273820956392389,6.713213202997793e-05,9.560607753394601e-05,8.913777993826605e-05,7.360042962565787e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-04,0.00014512529808350682,7.79031996803707e-05,6.72220984031361e-05,6.662932750335395e-05,7.849597058015291e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-07,0.0001345198698403466,8.108004105904175e-05,5.34398287813048e-05,6.603530592611188e-05,6.848456391423465e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-08,8.275646006779249e-05,3.8009874984001365e-05,4.4746585083791117e-05,4.8363274976201515e-05,3.439318509159097e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-09,8.571137210533853e-05,4.161842667843039e-05,4.409294542690813e-05,4.2714970633887756e-05,4.299640147145078e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-10,8.566433077275868e-05,4.361012231987807e-05,4.2054208452880554e-05,4.45627270360987e-05,4.1101603736659934e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-11,5.179854652943682e-05,2.5595117724746626e-05,2.620342880469019e-05,1.1216881663318227e-05,4.058166486611859e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-14,0.00012035896645653721,4.9047541213795134e-05,7.131142524274204e-05,9.398641986003089e-05,2.63725465965063e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-15,7.308770485145609e-05,3.4361136421864275e-05,3.8726568429591796e-05,3.9044428237577006e-05,3.4043276613879086e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-16,9.938961303647166e-05,4.368609921153e-05,5.5703513824941645e-05,6.240569519162352e-05,3.698391784484811e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-17,9.022379298241032e-05,4.1359383778496384e-05,4.886440920391389e-05,5.297676785413248e-05,3.7247025128277786e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-18,0.00012637471961599202,6.805138990093309e-05,5.832332971505889e-05,7.957639139952558e-05,4.6798328216466404e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-21,0.00010440574847020126,4.8785841669130524e-05,5.56199068010707e-05,5.779596022703875e-05,4.660978824316251e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-22,6.672990961567524e-05,3.794909195693214e-05,2.8780817658743107e-05,3.198423032223645e-05,3.474567929343881e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-23,5.325386656267602e-05,2.6623345083600613e-05,2.6630521479075417e-05,2.4171724092359646e-05,2.9082142470316398e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-24,6.770364071425753e-05,4.3240579030207665e-05,2.4463061684049872e-05,2.7037455884434592e-05,4.066618482982295e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-25,8.812556198107542e-05,2.9595013924995645e-05,5.853054805607982e-05,4.914877512161971e-05,3.897678685945573e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-28,6.902477068429833e-05,4.232322608021846e-05,2.6701544604079848e-05,2.688077409837114e-05,4.2143996585927144e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-29,5.255160605635285e-05,2.5806899283263256e-05,2.6744706773089585e-05,3.170513817445533e-05,2.0846467881897522e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-30,4.9425421149490555e-05,2.6268212907297048e-05,2.3157208242193524e-05,2.6820896229084884e-05,2.260452492040569e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-08-31,6.148538581636806e-05,3.6531362445990714e-05,2.495402337037737e-05,3.1135206011949036e-05,3.035017980441903e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-01,6.722858659665833e-05,3.938867098146088e-05,2.7839915615197473e-05,3.446604793891678e-05,3.276253865774158e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-04,4.846796313071069e-05,2.534636943318233e-05,2.3121593697528342e-05,1.9528206961851265e-05,2.8939756168859426e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-05,4.667148477390098e-05,1.8824617327251985e-05,2.7846867446648986e-05,3.573191340795734e-05,1.0939571365943641e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-06,5.250052936369539e-05,2.9864596302235102e-05,2.263593306146026e-05,2.4603907943872072e-05,2.7896621419823306e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-07,7.402811193444556e-05,3.390895195187135e-05,4.01191599825742e-05,4.2002103139083444e-05,3.20260087953621e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-08,0.00011468813530026728,4.461556179289032e-05,7.0072573507377e-05,8.402158375910442e-05,3.066655154116286e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-11,0.00010278311936294089,4.185952793809416e-05,6.092359142484666e-05,6.537548676922721e-05,3.7407632593713614e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-12,6.030891294312702e-05,3.517877933075772e-05,2.513013361236928e-05,3.773254799280308e-05,2.2576364950323924e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-13,6.121578086206429e-05,2.9119695031193555e-05,3.209608583087074e-05,4.0531489984253694e-05,2.0684290877810598e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-14,5.111994094117087e-05,3.075237514637043e-05,2.0367565794800466e-05,2.086239455374041e-05,3.025754638743047e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-15,5.577786142417802e-05,3.0809129552022e-05,2.4968731872155984e-05,3.100568284125615e-05,2.477217858292185e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-18,3.663007438398638e-05,1.3732887320063803e-05,2.2897187063922594e-05,1.1188551845987388e-05,2.5441522537998994e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-19,4.970458095851099e-05,2.3625838097110448e-05,2.607874286140054e-05,2.5232409719539097e-05,2.4472171238971915e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-20,4.196109072567735e-05,1.7900113282082053e-05,2.406097744359529e-05,2.3847367562394564e-05,1.811372316328279e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-21,4.445153171099e-05,1.4966247807262781e-05,2.948528390372724e-05,2.4532813745394976e-05,1.991871796559503e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-22,8.578854836551032e-05,4.572495860372008e-05,4.0063589761790225e-05,5.242854273629355e-05,3.336000562921674e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-25,6.351812580113853e-05,3.3471104194467736e-05,3.0047021606670787e-05,2.446024208544105e-05,3.905788371569748e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-26,8.557869570798077e-05,3.292122979689123e-05,5.265746591108957e-05,4.423888901937468e-05,4.133980668860613e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-27,8.454380541201767e-05,4.634615960277598e-05,3.819764580924167e-05,3.926835688016726e-05,4.52754485318504e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-28,0.0001454153708902899,5.004248901695936e-05,9.537288187333047e-05,9.865382023612664e-05,4.67615506541632e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-09-29,0.00011809183927757764,6.563422567178431e-05,5.245761360579327e-05,6.256471208898403e-05,5.5527127188593566e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-02,0.00014939113489050626,6.09737021018719e-05,8.841743278863435e-05,9.562539574166538e-05,5.3765739148840846e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-03,0.00015164052780968033,5.277485927483263e-05,9.886566853484772e-05,8.66116463192589e-05,6.502888149042143e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-04,0.0002296393891309258,8.923535255072396e-05,0.00014040403658020187,0.00012946646532956986,0.00010017292380135594,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-05,0.00018308992815743502,0.00010910227579258365,7.398765236485138e-05,7.811876209729807e-05,0.00010497116606013692,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-06,0.00014320082603621522,6.174649161827627e-05,8.145433441793887e-05,7.418303619252283e-05,6.901778984369233e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-09,0.00014441117484638997,4.909515024337302e-05,9.531602460301695e-05,2.151389118235306e-05,0.00012289728366403683,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-10,9.302235188980038e-05,5.985991618629036e-05,3.316243570351005e-05,4.19172255357953e-05,5.110512635400512e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-11,7.200326769680545e-05,3.6054292605411564e-05,3.5948975091393814e-05,3.697987458301907e-05,3.502339311378632e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-12,8.279822733015351e-05,5.7285465595205285e-05,2.551276173494823e-05,5.0097939649919e-05,3.2700287680234535e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-13,0.00013099620987963174,5.9004396556092305e-05,7.199181332353951e-05,7.444962163546816e-05,5.654658824416367e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-16,0.00015478295713242,6.002602815509678e-05,9.475692897732323e-05,8.341780932543464e-05,7.136514780698531e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-17,9.483462685254343e-05,4.947831674181678e-05,4.535631011072662e-05,4.4705452993445705e-05,5.012917385909768e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-18,0.00013698682405099757,7.221233762312305e-05,6.477448642787445e-05,6.489692599838859e-05,7.208989805260902e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-19,9.956890433735795e-05,4.057198991507395e-05,5.899691442228402e-05,4.616372994270203e-05,5.340517439465596e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-20,0.0001836920952890252,8.213849116430162e-05,0.0001015536041247235,6.01988301030496e-05,0.0001234932651859756,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-23,0.0001294188395784834,6.0838872655714796e-05,6.857996692276865e-05,5.396244057656835e-05,7.545639900191505e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-24,0.00023116281434557855,0.00010884744497649522,0.00012231536936908332,0.0001432530128302165,8.7909801515362e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-25,0.0001257624806203571,6.534055431175551e-05,6.042192630860162e-05,5.554147830816325e-05,7.022100231219386e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-26,0.00012953523086390407,5.559539000161569e-05,7.39398408622884e-05,6.483572652493445e-05,6.469950433896959e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-27,0.00017503570216480097,9.78034292227e-05,7.723227294210098e-05,5.941125633372368e-05,0.00011562444583107733,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-30,0.00011695993262038847,5.700173742914534e-05,5.99581951912431e-05,6.323829979505467e-05,5.37216328253338e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-10-31,0.00029136752698133547,0.00014646738779450436,0.00014490013918683122,0.00018454409765053878,0.00010682342933079679,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
2023-11-01,0.00014120777177203792,9.451241878327648e-05,4.669535298876149e-05,6.165760347243833e-05,7.955016829959966e-05,240,242,1.0,d5622e9bd2c263141135471c91b29745d2afa224336343daae58238e478aed43,225LABO_MICRO_RVRSV_V1
