trading_date,raw_signal_at_prior_close,implemented_position,underlying_close_to_close_return,strategy_return,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2022-08-01,-1,-1,0.008790082608413003,-0.008790082608413003,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-02,1,1,-0.01167712900202203,-0.01167712900202203,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-03,-1,-1,0.0014445650760526185,-0.0014445650760526185,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-04,-1,-1,0.00862384072622116,-0.00862384072622116,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-05,-1,-1,0.00784038228717316,-0.00784038228717316,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-08,1,1,0.002481830736760067,0.002481830736760067,1,1,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-09,1,1,-0.009964495259431829,-0.009964495259431829,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-10,-1,-1,-0.005738896669018167,0.005738896669018167,1,1,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-12,-1,-1,0.026270591352098943,-0.026270591352098943,1,0,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
2022-08-15,1,1,0.011149941297034477,0.011149941297034477,1,1,1.0,cec6b4217abffaf0aaf1af9fe03b250f7865bc5751088936be3ba698d5f3d62b,JNU_MACD_4_22_3_POSTPUBLICATION_G1_V1_DI1_FINAL_MINUTE_INCLUSIVE
