trading_date,day_session_minute_coverage,h1_pairs,h1_accuracy_denominator,h1_correct,h1_signal_payoff_sum,h1_daily_mean_signal_payoff,h1_zero_predecessor_count,h1_zero_target_count,h2_nonoverlap_10m_blocks,h2_pairs,h2_accuracy_denominator,h2_correct,h2_signal_payoff_sum,h2_daily_mean_signal_payoff,h2_zero_predecessor_count,h2_zero_target_count,source_file_sha256,transform_version
2006-07-18,1.0,227,183,94,0.00478938898583878,2.1098629893562907e-05,49,44,26,24,24,9,-0.012679460026911882,-0.0005283108344546618,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-19,1.0,202,145,69,-0.006914541871469596,-3.423040530430493e-05,74,57,26,24,24,12,0.012772331673670445,0.0005321804864029352,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-20,1.0,190,133,60,-0.005679792797532843,-2.9893646302804437e-05,86,57,26,24,24,13,-0.0036948084798213016,-0.00015395035332588757,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-21,1.0,176,123,53,-0.009444310481344942,-5.366085500764172e-05,100,53,26,24,24,14,0.01078758694292569,0.00044948278928857045,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-24,1.0,208,159,76,-0.007092943641569383,-3.4100690584468186e-05,68,49,26,24,24,13,0.0030280362043281156,0.00012616817518033816,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-25,1.0,178,113,46,-0.012961971922016629,-7.282006697762151e-05,98,65,26,24,24,16,0.00897645605991622,0.0003740190024965092,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-26,1.0,188,132,63,-0.0026806966107323542,-1.4259024525172097e-05,88,56,26,24,24,12,0.006344600636280324,0.0002643583598450135,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-27,1.0,200,145,63,0.0003291716902332769,1.6458584511663845e-06,76,55,26,24,24,15,0.0017584741658556952,7.326975691065397e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-28,1.0,200,142,59,-0.006553537737643934,-3.2767688688219665e-05,76,58,26,24,24,14,-0.004259019311635455,-0.0001774591379848106,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-07-31,1.0,196,134,57,-0.011298109892120121,-5.7643417816939396e-05,80,62,26,24,24,12,-0.0013005088842693586,-5.4187870177889944e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-01,1.0,190,127,59,-0.006819914008002683,-3.5894284252645706e-05,86,63,26,24,24,14,0.0009602300260262223,4.000958441775926e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-02,1.0,189,127,51,-0.013636008578804554,-7.214819353864843e-05,87,62,26,24,24,18,0.010379841426750075,0.00043249339278125315,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-03,1.0,183,124,51,-0.012583405511505108,-6.876177875139403e-05,93,59,26,24,24,13,0.005155518977920904,0.00021481329074670436,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-04,1.0,178,117,41,-0.014505705800023973,-8.149272921361783e-05,98,61,26,24,24,13,0.000967273428629884,4.030305952624517e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-07,1.0,193,140,59,-0.00421702472521821,-2.1849869042581397e-05,83,53,26,24,24,10,-0.008555585454143453,-0.0003564827272559772,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-08,1.0,186,129,59,-0.0026141535770483025,-1.4054589123915605e-05,90,57,26,24,24,13,-0.0009390841339671095,-3.9128505581962894e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-09,1.0,224,185,84,-0.017457703441025818,-7.793617607600811e-05,52,39,26,24,24,10,-0.015464172281384768,-0.0006443405117243653,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-10,1.0,217,171,80,-0.0028729548853652113,-1.3239423434862724e-05,59,46,26,24,24,15,0.010561223260007127,0.00044005096916696363,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-11,1.0,192,139,61,-0.005767525263025572,-3.0039194078258186e-05,84,53,26,24,24,12,-0.00032568518451962596,-1.3570216021651082e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-14,1.0,185,130,49,-0.010459775963135038,-5.6539329530459664e-05,91,55,26,24,24,8,-0.013990070392069124,-0.0005829195996695469,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-15,1.0,166,110,47,-0.008827344787857731,-5.317677583046826e-05,110,56,26,24,24,9,-0.0012587488547825103,-5.244786894927126e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-16,1.0,176,131,52,-0.007475800465533969,-4.247613900871574e-05,100,45,26,24,24,14,0.007176932830016988,0.0002990388679173745,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-17,1.0,171,107,34,-0.014550907553352338,-8.509302662779145e-05,105,64,26,24,24,10,-0.0018621879443565617,-7.759116434819007e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-18,1.0,186,131,52,-0.018023560215642716,-9.69008613744232e-05,90,55,26,24,24,11,-0.0009243235323088664,-3.851348051286943e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-21,1.0,187,131,67,0.002463390487734101,1.3173211164353482e-05,89,56,26,24,24,9,-0.0009209724770362173,-3.837385320984239e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-22,1.0,166,103,41,-0.006518424359546398,-3.926761662377348e-05,110,63,26,24,24,16,0.012744532889314361,0.0005310222037214317,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-23,1.0,172,107,43,-0.005877064517611425,-3.416897975355479e-05,104,65,26,24,24,15,0.003713835255737284,0.00015474313565572018,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-24,1.0,189,130,60,-2.177040496381276e-06,-1.1518732785086115e-08,87,59,26,24,24,17,0.013758122020000138,0.0005732550841666724,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-25,1.0,202,150,62,-0.007163418373439376,-3.546246719524444e-05,74,52,26,24,24,8,-0.019679329714553988,-0.0008199720714397495,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-28,1.0,219,175,79,-0.0004162247148347302,-1.9005694741311881e-06,57,44,26,24,24,17,0.024910643800181726,0.0010379434916742386,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-29,1.0,175,117,52,-0.001240835990724459,-7.090491375568338e-06,101,58,26,24,24,19,0.011011104747191532,0.0004587960311329805,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-30,1.0,188,128,50,-0.013848974807277493,-7.366475961317815e-05,88,60,26,24,24,14,0.003450593484448516,0.00014377472851868816,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-08-31,1.0,201,143,68,0.0009198247758843392,4.57624266609124e-06,75,58,26,24,24,9,0.003730564146662621,0.0001554401727776092,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-01,1.0,190,133,58,-0.0031106281007691793,-1.6371726846153577e-05,86,57,26,24,24,11,-0.002793470677002737,-0.00011639461154178071,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-04,1.0,153,89,39,-0.00702799928455677,-4.593463584677627e-05,123,64,26,24,24,14,0.0021369887263712178,8.904119693213407e-05,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-05,1.0,193,134,52,-0.016235454352554846,-8.412152514277122e-05,83,59,26,24,24,16,0.006433575870273187,0.0002680656612613828,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-06,1.0,172,106,42,-0.012552564050116708,-7.298002354719017e-05,104,66,26,24,24,18,0.013801681413930858,0.0005750700589137858,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-07,1.0,201,145,60,-0.010632450870160754,-5.2897765523187834e-05,75,56,26,24,24,13,0.0037543881208828497,0.00015643283837011874,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-08,1.0,192,137,64,0.005944293393235107,3.095986142309951e-05,84,55,26,24,24,7,-0.016600851121081533,-0.0006917021300450639,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-11,1.0,201,152,62,-0.006575255711913066,-3.271271498464212e-05,75,49,26,24,24,10,-0.003814992715703636,-0.00015895802982098483,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
2006-09-12,1.0,211,161,67,-0.012765926371681485,-6.05020207188696e-05,65,50,26,24,24,13,-2.060149817364695e-06,-8.583957572352895e-08,0,0,397ded0c7d1ad61201d37a93bc2281acc2381a88e54fb0e71478569b305bee04,JNU_INTRADAY_MOMREV_G1_V1
