trading_date,overnight_return,morning_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2016-01-04,-0.00925565248235536,-0.006129266357124133,-0.006129266357124133,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-05,-0.0005436259987101813,0.005152553772365549,0.005152553772365549,1,1,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-06,-0.001088139389195488,-0.006827829338623357,-0.006827829338623357,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-07,-0.003855691915197602,-0.014452725166480244,-0.014452725166480244,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-08,-0.009344539184704825,0.01356336136107078,0.01356336136107078,1,1,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-12,-0.015950209979462185,-0.0020117839807184943,-0.0020117839807184943,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-13,0.01877853823108151,0.008833224552367085,-0.008833224552367085,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-14,-0.029793094433205828,-0.007589061525559211,-0.007589061525559211,1,0,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-15,0.012636584004512057,-0.008886399312208084,0.008886399312208084,1,1,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
2016-01-18,-0.023308327643808247,0.009506904639413455,0.009506904639413455,1,1,1.0,d8dc20191b8dd3a790feb049d9aa911316444894eca7abf2e73f3cc3fbd80e01,JNU_OVERNIGHT_OVERREACTION_G1_V1
