trading_date,fx_observation_date,fx_overnight_return,day_session_return,signal_payoff,accuracy_denominator,correct,day_session_minute_coverage,source_file_sha256,transform_version
2018-08-01,2018-07-31,0.004299540840575204,0.004846892061977272,-0.004846892061977272,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-02,2018-08-01,-0.0035739852196115603,-0.0070890859578187256,-0.0070890859578187256,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-03,2018-08-02,-0.0011654490538760614,-0.004656843985104527,-0.004656843985104527,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-06,2018-08-03,-0.006726784412750775,-0.0019980026626731087,-0.0019980026626731087,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-07,2018-08-06,0.0014369108893535281,0.003764814545362739,-0.003764814545362739,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-08,2018-08-07,-0.0015277468709517248,-0.00044179368953618103,-0.00044179368953618103,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-09,2018-08-08,9.012662797303892e-05,0.0006643782771231264,-0.0006643782771231264,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-10,2018-08-09,-0.0013516559841149688,-0.010926633406974421,-0.010926633406974421,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-13,2018-08-10,-9.036280673032335e-05,-0.011812949726710353,-0.011812949726710353,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
2018-08-14,2018-08-13,0.004165917997373073,0.0130720815673527,-0.0130720815673527,1,0,1.0,339df2f7d1229e397d34f9c8be19d481e01c86be8edf0415213f1f27a125b2ac,PRIOR_NIGHT_USDJPY_TO_JNU_DAY_G1_V1
